bnf_chapter,items,total_quantity,nic
Endocrine System,49374366,2322391202.0,807774074.48
Central Nervous System,80819813,5296101419.0,547955058.48
Respiratory System,24554745,563607937.0,419323704.39
Cardiovascular System,130809716,4603021487.0,414526521.83
Appliances,14032763,2488817484.5,321050528.09
Nutrition and Blood,24255645,12343790577.9,319874150.5
Gastro-Intestinal System,40092646,2996456046.0,237329022.28
Stoma Appliances,2711847,258973775.2,151125396.72
Skin,9033442,1512121167.0,106268499.63
"Obstetrics, Gynaecology and Urinary-Tract Disorders",12621433,490238912.0,104275418.4
Infections,13954597,511369607.5,82747686.97
Malignant Disease and Immunosuppression,1592399,60915433.0,60685449.74
Dressings,1652104,44065751.56,58178168.87
Eye,5191613,101950773.0,56167193.54
Musculoskeletal and Joint Diseases,10766510,698408222.0,48540755.04
"Ear, Nose and Oropharynx",4015654,80820536.7,31322957.6
Incontinence Appliances,955308,17016126.0,24044123.46
Immunological Products and Vaccines,1400074,1405038.5,22338370.16
Anaesthesia,623682,73652242.5,7865602.87
Other Drugs and Preparations,206742,95470986.0,4667322.16
Preparations used in Diagnosis,12,16500.0,2887.5
