bnf_chapter,items,total_quantity,nic
Cardiovascular System,130809716,4603021487.0,414526521.83
Central Nervous System,80819813,5296101419.0,547955058.48
Endocrine System,49374366,2322391202.0,807774074.48
Gastro-Intestinal System,40092646,2996456046.0,237329022.28
Respiratory System,24554745,563607937.0,419323704.39
Nutrition and Blood,24255645,12343790577.9,319874150.5
Appliances,14032763,2488817484.5,321050528.09
Infections,13954597,511369607.5,82747686.97
"Obstetrics, Gynaecology and Urinary-Tract Disorders",12621433,490238912.0,104275418.4
Musculoskeletal and Joint Diseases,10766510,698408222.0,48540755.04
