icb_name_clean,items,total_quantity,nic,nic_per_item,quantity_per_item
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,32070240,2376818945.5,264841213.59,8.25816126072022,74.11291420020555
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,23644012,2035135685.8,215452303.29,9.112341141173502,86.07404216340272
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,30160084,1859992390.1,211890838.61,7.02553874219979,61.670663453722476
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,21647057,2050800011.3,200656499.18,9.269458623405482,94.73805198092286
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,11793069,1826494039.6,128805562.45,10.92214100078614,154.878601965273
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,14709703,1111153192.6,121647893.65,8.269908212966639,75.53879181653089
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,14553201,1005620512.3,114119609.18,7.841546968258049,69.09960992774029
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,11728074,895714817.2,113251490.55,9.656444063194007,76.3735645938114
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,13261625,1078246839.7,103060962.87,7.77136760163253,81.30578565598108
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,9111555,663313285.4,102604297.33,11.260898642438091,72.79913092770663
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,5780934,356971384.6,98291152.44,17.002642209719053,61.749776869966
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,5596108,2261348609.3,96014731.31,17.157412135362648,404.09309636268637
NHS SUSSEX INTEGRATED CARE BOARD,8765767,590502739.3,92809832.69,10.587759484138695,67.36464011648951
NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,9017207,995649419.8,90297698.68,10.013932105584358,110.41660902317092
