icb_name_clean,items,total_quantity,nic
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,32070240,2376818945.5,264841213.59
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,23644012,2035135685.8,215452303.29
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,30160084,1859992390.1,211890838.61
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,21647057,2050800011.3,200656499.18
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,11793069,1826494039.6,128805562.45
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,14709703,1111153192.6,121647893.65
NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,14553201,1005620512.3,114119609.18
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,11728074,895714817.2,113251490.55
NHS NORTH EAST LONDON INTEGRATED CARE BOARD,13261625,1078246839.7,103060962.87
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,9111555,663313285.4,102604297.33
