generic_bnf_equivalent_name,bnf_chapter,items,total_quantity,nic
Atorvastatin 20mg tablets,Cardiovascular System,13460092,455381613.0,10529680.61
Omeprazole 20mg gastro-resistant capsules,Gastro-Intestinal System,10226308,381603687.0,10314812.11
Amlodipine 5mg tablets,Cardiovascular System,8015593,275614687.0,5742761.49
Lansoprazole 30mg gastro-resistant capsules,Gastro-Intestinal System,7137506,219531846.0,7627275.81
Atorvastatin 40mg tablets,Cardiovascular System,6684543,208930886.0,5426416.5
Amlodipine 10mg tablets,Cardiovascular System,5479012,183034349.0,4011605.04
Lansoprazole 15mg gastro-resistant capsules,Gastro-Intestinal System,4956079,160497988.0,4274619.4
Aspirin 75mg dispersible tablets,Cardiovascular System,4922353,147468062.0,15408356.7
Metformin 500mg tablets,Endocrine System,4838092,450129454.0,8767423.49
Paracetamol 500mg tablets,Central Nervous System,4521735,605019967.0,11968606.9
