generic_bnf_equivalent_name,bnf_chapter,items,total_quantity,nic
FreeStyle Libre 2 Plus Sensor,Appliances,1393669,3076425.0,115365937.5
Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,Endocrine System,514504,554647.0,99836460.0
Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Endocrine System,235996,250973.0,63998115.0
Beclometasone 100microg/Formoterol 6microg/dose inh CFC free,Respiratory System,1798428,2260739.0,51600702.81
Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Endocrine System,181664,195551.0,49865505.0
Nelaton catheter male 6Ch-24Ch,Appliances,200916,22138208.0,42508355.57
Generic Trimbow 87microg/5microg/9microg/dose inh CFC free,Respiratory System,837579,935587.0,41633621.5
Edoxaban 60mg tablets,Cardiovascular System,720872,22049433.0,38586507.75
Budesonide 200mcg/dose / Formoterol 6mcg/dose dry powder inh,Respiratory System,1137542,3337024.0,38148356.09
Dapagliflozin 10mg tablets,Endocrine System,4128374,119455078.0,30298379.71
